"","district","name","party","date_assumed_office","counties_represented","committees","twitter","instagram","sentiment_avg"
"1",1,"Heather Hadwick","Republican","2-Dec-24","Alpine, Amador, El Dorado, Lassen, Modoc, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou","Agriculture - Member, Budget (First Extraordinary) - Member, Budget - Member, Business and Professions - Member, Emergency Management - Vice Chair, Insurance - Member, Subcommittee No. 3 on Education Finance - Member, Select Committee on Native American Affairs - Member, Joint Legislative Committee on Emergency Management - Member","hhadwickAD1",NA,0.0879662004662005
"2",2,"Chris Rogers","Democrat","2-Dec-24","Del Norte, Humboldt, Mendocino, Sonoma, Trinity","Budget - Member, Communications and Conveyance - Member, Transportation - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on Climate Innovation and Infrastructure - Chair, Select Committee on Native American Affairs - Member, Joint Committee on Fisheries and Aquaculture - Member","AsmChrisRogers",NA,0
"3",3,"James Gallagher","Republican","1-Dec-14","Butte, Glenn, Placer, Sutter, Tehama, Yuba","Joint Committee on Rules - Member","j_gallagherad3",NA,NA
"4",4,"Cecilia Aguiar-Curry","Democrat","2016","Colusa, Lake, Napa, Sonoma, Yolo","Agriculture - Member, Health - Member, Transportation - Member, Select Committee on Child Care Costs - Co-Chair, Joint Committee on Rules - Member","AsmAguiarCurry",NA,NA
"5",5,"Joe Patterson","Republican","5-Dec-22","El Dorado, Placer","Budget (First Extraordinary) - Member, Budget - Member, Health - Member, Housing and Community Development - Vice Chair, Privacy and Consumer Protection - Member, Utilities and Energy - Vice Chair, Subcommittee No. 1 on Health - Member, Joint Legislative Budget - Member","Patterdude",NA,NA
"6",6,"Maggy Krell","Democrat","2-Dec-24","Sacramento","Banking and Finance - Member, Business and Professions - Member, Health - Member, Insurance - Member, Rules (First Extraordinary) - Member, Rules - Member, Joint Committee on Rules - Member","AsmMaggyKrell",NA,NA
"7",7,"Josh Hoover","Republican","5-Dec-22","Sacramento","Communications and Conveyance - Vice Chair, Education - Vice Chair, Local Government - Member, Natural Resources - Member, Transportation - Member, Joint Legislative Audit - Member","joshua_hoover",NA,0
"8",8,"David Tangipa","Republican","2-Dec-24","Calaveras, Fresno, Inyo, Madera, Mariposa, Mono, Tuolumne","Appropriations - Member, Budget - Member, Elections - Member, Higher Education - Member, Housing and Community Development - Member, Human Services - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 2 on Human Services - Member","AsmTangipa",NA,0.133333333333333
"9",9,"Heath Flora","Republican","5-Dec-22","Amador, Calaveras, Sacramento, San Joaquin, Stanislaus","Budget (First Extraordinary) - Vice Chair, Budget - Vice Chair, Business and Professions - Vice Chair, Health - Member, Labor and Employment - Vice Chair, Natural Resources - Member, Rules (First Extraordinary) - Member, Rules - Member, Subcommittee No. 1 on Health - Member, Subcommittee No. 2 on Human Services - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Subcommittee No. 5 on State Administration - Member, Subcommittee No. 6 on Public Safety - Member, Joint Committee on Rules - Member, Joint Legislative Budget - Member, Joint Legislative Committee on Climate Change Policies - Member","HeathFloraCA",NA,NA
"10",10,"Stephanie Nguyen","Democrat","5-Dec-22","Sacramento","Business and Professions - Member, Governmental Organization - Member, Insurance - Member, Public Employment and Retirement - Member, Public Safety - Member, Select Committee on Child Care Costs - Co-Chair","AsmNguyen",NA,NA
"11",11,"Lori Wilson","Democrat","6-Apr-22","Contra Costa, Sacramento, Solano","Budget - Member, Housing and Community Development - Member, Local Government - Member, Privacy and Consumer Protection - Member, Transportation - Chair, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Co-Chair","AsmLoriDWilson",NA,0.103448275862069
"12",12,"Damon Connolly","Democrat","5-Dec-22","Marin, Sonoma","Agriculture - Member, Budget (First Extraordinary) - Member, Budget - Member, Environmental Safety and Toxic Materials - Chair, Judiciary - Member, Natural Resources - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on Wildfire Prevention - Chair, Joint Committee on Fairs Allocation and Classification - Member","AsmConnolly",NA,NA
"13",13,"Rhodesia Ransom","Democrat","2-Dec-24","San Joaquin","Agriculture - Member, Emergency Management - Chair, Local Government - Member, Transportation - Member, Joint Committee on Fairs Allocation and Classification - Member, Joint Legislative Audit - Member, Joint Legislative Committee on Emergency Management - Vice Chair","AsmRansom",NA,NA
"14",14,"Buffy Wicks","Democrat","5-Dec-22","Alameda, Contra Costa","Appropriations - Chair, Housing and Community Development - Member, Natural Resources - Member, Privacy and Consumer Protection - Member, Select Committee on Permitting Reform - Chair","BuffyWicks",NA,NA
"15",15,"Anamarie Avila Farias","Democrat","2-Dec-24","Contra Costa","Aging and Long-Term Care - Member, Housing and Community Development - Member, Insurance - Member, Military and Veterans Affairs - Member, Water, Parks, and Wildlife - Member, Select Committee on Housing Finance and Affordability - Co-Chair","anamariead15",NA,NA
"16",16,"Rebecca Bauer-Kahan","Democrat","2018","Alameda, Contra Costa","Business and Professions - Member, Environmental Safety and Toxic Materials - Member, Judiciary - Member, Privacy and Consumer Protection - Chair, Select Committee on Reproductive Health - Chair, Joint Legislative Committee on Climate Change Policies - Member","BauerKahan",NA,NA
"17",17,"Matt Haney","Democrat","3-May-22","San Francisco","Budget - Member, Business and Professions - Member, Housing and Community Development - Chair, Natural Resources - Member, Public Safety - Member, Subcommittee No. 5 on State Administration - Member, Select Committee on Downtown Recovery - Chair","AsmMattHaney",NA,NA
"18",18,"Mia Bonta","Democrat","7-Sep-21","Alameda","Budget (First Extraordinary) - Member, Budget - Member, Communications and Conveyance - Member, Economic Development, Growth, and Household Impact - Member, Education - Member, Health - Chair, Subcommittee No. 1 on Health - Member, Select Committee on CalFresh Enrollment and Nutrition - Co-Chair","AsmMiaBonta",NA,NA
"19",19,"Catherine Stefani","Democrat","2-Dec-24","San Francisco, San Mateo","Economic Development, Growth, and Household Impact - Member, Elections - Member, Health - Member, Judiciary - Member, Local Government - Member, Assembly Legislative Ethics - Co-Chair","AsmStefani",NA,NA
"20",20,"Liz Ortega","Democrat","5-Dec-22","Alameda","Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Budget - Member, Insurance - Member, Labor and Employment - Chair, Privacy and Consumer Protection - Member, Subcommittee No. 5 on State Administration - Member","LizForAssembly",NA,NA
"21",21,"Diane Papan","Democrat","5-Dec-22","San Mateo","Environmental Safety and Toxic Materials - Member, Judiciary - Member, Transportation - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Chair, Select Committee on Community Reinvestment - Chair, Joint Committee on Fisheries and Aquaculture - Vice Chair","DianePapan",NA,NA
"22",22,"Juan Alanis","Republican","5-Dec-22","Merced, Stanislaus","Agriculture - Vice Chair, Budget - Member, Business and Professions - Member, Natural Resources - Vice Chair, Public Employment and Retirement - Member, Public Safety - Vice Chair, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Joint Committee on Fairs Allocation and Classification - Member","JuanAlanisCA",NA,NA
"23",23,"Marc Berman","Democrat","5-Dec-22","San Mateo, Santa Clara","Business and Professions - Chair, Elections - Member, Governmental Organization - Member, Insurance - Member, Select Committee on Master Plan for Higher Education in California - Chair, Assembly Legislative Ethics - Member","AsmMarcBerman",NA,NA
"24",24,"Alex Lee","Democrat","5-Dec-22","Alameda, Santa Clara","Budget (First Extraordinary) - Member, Budget - Member, Environmental Safety and Toxic Materials - Member, Housing and Community Development - Member, Human Services - Chair, Labor and Employment - Member, Subcommittee No. 2 on Human Services - Member, Select Committee on Social Housing - Chair","alex_lee",NA,NA
"25",25,"Ash Kalra","Democrat","5-Dec-22","Santa Clara","Housing and Community Development - Member, Judiciary - Chair, Labor and Employment - Member, Natural Resources - Member, Utilities and Energy - Member, Select Committee on Alternative Protein Innovation - Chair","Ash_Kalra",NA,NA
"26",26,"Patrick Ahrens","Democrat","2-Dec-24","Santa Clara","Budget - Member, Business and Professions - Member, Communications and Conveyance - Member, Rules (First Extraordinary) - Member, Rules - Member, Transportation - Member, Subcommittee No. 2 on Human Services - Member, Joint Committee on Rules - Member","AsmAhrens",NA,NA
"27",27,"Esmeralda Soria","Democrat","5-Dec-22","Fresno, Madera, Merced","Agriculture - Chair, Banking and Finance - Member, Economic Development, Growth, and Household Impact - Member, Governmental Organization - Member, Select Committee on Native American Affairs - Member, Joint Committee on Fairs Allocation and Classification - Chair","AsmSoria",NA,NA
"28",28,"Gail Pellerin","Democrat","5-Dec-22","Santa Clara, Santa Cruz","Appropriations - Member, Business and Professions - Member, Elections - Chair, Natural Resources - Member, Privacy and Consumer Protection - Member, Select Committee on California's Mental Health Crisis - Chair","AsmGailPellerin",NA,NA
"29",29,"Robert Rivas","Democrat","5-Dec-22","Monterey, San Benito, Santa Clara, Santa Cruz","Joint Committee on Rules - Member","AsmRobertRivas",NA,NA
"30",30,"Dawn Addis","Democrat","5-Dec-22","Monterey, San Luis Obispo, Santa Cruz","Budget (First Extraordinary) - Member, Budget - Member, Education - Member, Health - Member, Insurance - Member, Subcommittee No. 1 on Health - Chair, Select Committee on Serving Students with Disabilities - Chair, Joint Legislative Budget - Member","AsmDawnAddis",NA,NA
"31",31,"Joaquin Arambula","Democrat","14-Apr-16","Fresno","Aging and Long-Term Care - Member, Appropriations - Member, Emergency Management - Member, Health - Member, Rules (First Extraordinary) - Member, Rules - Member, Select Committee on Community Economic Mobility and Investment - Chair, Joint Committee on Fairs Allocation and Classification - Member, Joint Legislative Committee on Emergency Management - Member","drarambula559",NA,NA
"32",32,"Stan Ellis","Republican","3-Mar-25","Kern, Tulare","Aging and Long-Term Care - Vice Chair, Environmental Safety and Toxic Materials - Vice Chair, Insurance - Member, Natural Resources - Member, Assembly Legislative Ethics - Member",NA,NA,NA
"33",33,"Alexandra Macedo","Republican","2-Dec-24","Fresno, Kings, Tulare","Budget (First Extraordinary) - Member, Business and Professions - Member, Elections - Vice Chair, Governmental Organization - Member, Judiciary - Member, Privacy and Consumer Protection - Member, Transportation - Member, Water, Parks, and Wildlife - Member","Macedo4Assembly",NA,NA
"34",34,"Tom Lackey","Republican","5-Dec-22","Kern, Los Angeles, San Bernardino","Arts, Entertainment, Sports, and Tourism - Vice Chair, Budget (First Extraordinary) - Member, Budget - Member, Public Employment and Retirement - Vice Chair, Public Safety - Member, Rules (First Extraordinary) - Vice Chair, Rules - Vice Chair, Transportation - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Subcommittee No. 6 on Public Safety - Member, Joint Committee on the Arts - Member, Joint Committee on Rules - Member","tomlackey36",NA,NA
"35",35,"Jasmeet Bains","Democrat","5-Dec-22","Kern","Aging and Long-Term Care - Chair, Business and Professions - Member, Emergency Management - Member, Revenue and Taxation - Member, Water, Parks, and Wildlife - Member, Joint Committee on Fairs Allocation and Classification - Member, Joint Legislative Committee on Emergency Management - Member","AsmJasmeetBains",NA,NA
"36",36,"Jeff Gonzalez","Republican","2-Dec-24","Imperial, Riverside, San Bernardino","Aging and Long-Term Care - Member, Agriculture - Member, Arts, Entertainment, Sports, and Tourism - Member, Higher Education - Member, Military and Veterans Affairs - Vice Chair, Water, Parks, and Wildlife - Vice Chair, Joint Committee on the Arts - Member","AsmJeffGonzalez",NA,0.242424242424242
"37",37,"Gregg Hart","Democrat","5-Dec-22","San Luis Obispo, Santa Barbara","Appropriations - Member, Budget (First Extraordinary) - Member, Budget - Member, Transportation - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 7 on Accountability and Oversight - Chair, Select Committee on the Nonprofit Sector - Chair, Joint Legislative Audit - Member","AsmGreggHart",NA,NA
"38",38,"Steve Bennett","Democrat","5-Dec-22","Ventura","Budget (First Extraordinary) - Member, Budget - Member, Elections - Member, Emergency Management - Member, Rules (First Extraordinary) - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Chair, Joint Legislative Budget - Member, Joint Legislative Committee on Emergency Management - Member","asmstevebennett",NA,NA
"39",39,"Juan Carrillo","Democrat","5-Dec-22","Los Angeles, San Bernardino","Governmental Organization - Member, Health - Member, Local Government - Chair, Military and Veterans Affairs - Member, Transportation - Member","JuanCarrillo4CA",NA,NA
"40",40,"Pilar Schiavo","Democrat","5-Dec-22","Los Angeles","Banking and Finance - Member, Budget - Member, Health - Member, Military and Veterans Affairs - Chair, Utilities and Energy - Member, Subcommittee No. 1 on Health - Member, Select Committee on Electric Vehicles and Charging Infrastructure - Chair, Select Committee on Native American Affairs - Member","Pilar4CA",NA,NA
"41",41,"John Harabedian","Democrat","2-Dec-24","Los Angeles, San Bernardino","Budget (First Extraordinary) - Member, Insurance - Member, Judiciary - Member, Public Safety - Member, Transportation - Member, Utilities and Energy - Member, Select Committee on Housing Finance and Affordability - Co-Chair, Joint Legislative Audit - Chair","AsmHarabedian",NA,NA
"42",42,"Jacqui Irwin","Democrat","5-Dec-22","Los Angeles, Ventura","Agriculture - Member, Budget (First Extraordinary) - Member, Business and Professions - Member, Privacy and Consumer Protection - Member, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member, Select Committee on Cybersecurity - Chair, Joint Committee on Fairs Allocation and Classification - Member, Joint Committee on Rules - Member, Joint Legislative Committee on Climate Change Policies - Chair","ASM_Irwin",NA,0.0454545454545455
"43",43,"Celeste Rodriguez","Democrat","2-Dec-24","Los Angeles","Budget (First Extraordinary) - Member, Health - Member, Higher Education - Member, Human Services - Member, Water, Parks, and Wildlife - Member, Select Committee on Latina Inequities - Chair",NA,"asmcelesterodriguez",NA
"44",44,"Nick Schultz","Democrat","2-Dec-24","Los Angeles","Budget (First Extraordinary) - Member, Budget - Member, Natural Resources - Member, Public Safety - Chair, Utilities and Energy - Member, Subcommittee No. 6 on Public Safety - Member","AsmNickSchultz",NA,NA
"45",45,"James Ramos","Democrat","5-Dec-22","San Bernardino","Budget (First Extraordinary) - Member, Budget - Member, Governmental Organization - Member, Local Government - Member, Public Safety - Member, Subcommittee No. 6 on Public Safety - Chair, Select Committee on Native American Affairs - Chair","AsmJamesRamos",NA,NA
"46",46,"Jesse Gabriel","Democrat","5-Dec-22","Los Angeles, Ventura","Budget (First Extraordinary) - Chair, Budget - Chair, Governmental Organization - Member, Subcommittee No. 1 on Health - Member, Subcommittee No. 2 on Human Services - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Subcommittee No. 5 on State Administration - Member, Subcommittee No. 6 on Public Safety - Member, Joint Legislative Budget - Vice-Chair","ASMGabriel",NA,NA
"47",47,"Greg Wallis","Republican","5-Dec-22","Riverside, San Bernardino","Budget - Member, Economic Development, Growth, and Household Impact - Member, Governmental Organization - Member, Insurance - Vice Chair, Utilities and Energy - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 5 on State Administration - Member","wallis4assembly",NA,NA
"48",48,"Blanca Rubio","Democrat","2016","Los Angeles","Aging and Long-Term Care - Member, Banking and Finance - Member, Communications and Conveyance - Member, Governmental Organization - Chair, Local Government - Member, Select Committee on Domestic Violence - Chair","AsmBlancaRubio",NA,NA
"49",49,"Mike Fong","Democrat","22-Feb-22","Los Angeles","Appropriations - Member, Banking and Finance - Member, Budget (First Extraordinary) - Member, Budget - Member, Governmental Organization - Member, Higher Education - Chair, Subcommittee No. 3 on Education Finance - Member, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Chair, Select Committee on Native American Affairs - Member","AsmMikeFong",NA,NA
"50",50,"Robert Garcia","Democrat","2-Dec-24","San Bernardino","Communications and Conveyance - Member, Education - Member, Housing and Community Development - Member, Natural Resources - Member, Public Employment and Retirement - Member, Revenue and Taxation - Member, Select Committee on Native American Affairs - Member","RepRobertGarcia",NA,NA
"51",51,"Rick Chavez Zbur","Democrat","5-Dec-22","Los Angeles","Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Judiciary - Member, Natural Resources - Member, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member, Joint Committee on the Arts - Member, Joint Committee on Rules - Member","RickChavezZbur",NA,NA
"52",52,"Jessica Caloza","Democrat","2-Dec-24","Los Angeles","Appropriations - Member, Budget (First Extraordinary) - Member, Business and Professions - Member, Communications and Conveyance - Member, Housing and Community Development - Member, Water, Parks, and Wildlife - Member, Select Committee on Asia/California Trade and Investment - Chair, Select Committee on Native American Affairs - Member","AsmCaloza",NA,NA
"53",53,"Michelle Rodriguez","Democrat","2-Dec-24","Los Angeles, San Bernardino","Banking and Finance - Member, Governmental Organization - Member, Insurance - Member, Military and Veterans Affairs - Member, Rules (First Extraordinary) - Member, Rules - Member, Joint Committee on Rules - Member","AsmMRodriguez",NA,NA
"54",54,"Mark Gonzalez","Democrat","2-Dec-24","Los Angeles","Appropriations - Member, Budget (First Extraordinary) - Member, Health - Member, Public Safety - Member, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member, Joint Committee on Rules - Member","AsmMarkGonzalez",NA,0.333333333333333
"55",55,"Isaac Bryan","Democrat","5-Dec-22","Los Angeles","Governmental Organization - Member, Judiciary - Member, Natural Resources - Chair, Privacy and Consumer Protection - Member, Select Committee on the Status of Boys and Men of Color - Chair, Joint Legislative Committee on Climate Change Policies - Member","isaacbryanforca",NA,NA
"56",56,"Lisa Calderon","Democrat","5-Dec-22","Los Angeles","Appropriations - Member, Emergency Management - Member, Human Services - Member, Insurance - Chair, Utilities and Energy - Member, Joint Legislative Committee on Emergency Management - Member","AsmLisaCalderon",NA,NA
"57",57,"Sade Elhawary","Democrat","2-Dec-24","Los Angeles","Appropriations - Member, Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Business and Professions - Member, Human Services - Member, Labor and Employment - Member, Public Employment and Retirement - Member, Joint Committee on the Arts - Member","SadeElhawary",NA,NA
"58",58,"Leticia Castillo","Republican","2-Dec-24","Riverside, San Bernardino","Communications and Conveyance - Member, Economic Development, Growth, and Household Impact - Vice Chair, Education - Member, Environmental Safety and Toxic Materials - Member, Human Services - Vice Chair","Castillo_AD58",NA,NA
"59",59,"Phillip Chen","Republican","5-Dec-22","Orange, San Bernardino","Banking and Finance - Vice Chair, Business and Professions - Member, Health - Vice Chair, Insurance - Member, Labor and Employment - Member, Utilities and Energy - Member, Assembly Legislative Ethics - Co-Chair","PhillipChenCA",NA,NA
"60",60,"Corey Jackson","Democrat","5-Dec-22","Riverside","Budget (First Extraordinary) - Member, Budget - Member, Business and Professions - Member, Higher Education - Member, Human Services - Member, Transportation - Member, Subcommittee No. 2 on Human Services - Chair, Select Committee on Native American Affairs - Member, Select Committee on Racism, Hate, and Xenophobia - Chair, Joint Legislative Budget - Member","AsmCoreyJackson",NA,NA
"61",61,"Tina McKinnor","Democrat","5-Dec-22","Los Angeles","Arts, Entertainment, Sports, and Tourism - Member, Environmental Safety and Toxic Materials - Member, Governmental Organization - Member, Privacy and Consumer Protection - Member, Public Employment and Retirement - Chair, Revenue and Taxation - Member, Select Committee on 2028 Olympic and Paralympic Games - Chair",NA,"asmtinamckinnor",NA
"62",62,"Jose Solache","Democrat","2-Dec-24","Los Angeles","Appropriations - Member, Budget - Member, Economic Development, Growth, and Household Impact - Chair, Elections - Member, Governmental Organization - Member, Subcommittee No. 1 on Health - Member","AsmSolache",NA,NA
"63",64,"Blanca Pacheco","Democrat","5-Dec-22","Los Angeles, Orange","Appropriations - Member, Governmental Organization - Member, Judiciary - Member, Local Government - Member, Rules (First Extraordinary) - Chair, Rules - Chair, Joint Committee on Rules - Chair","AsmPacheco",NA,NA
"64",65,"Mike Gipson","Democrat","5-Dec-22","Los Angeles","Governmental Organization - Member, Insurance - Member, Revenue and Taxation - Chair, Select Committee on Ports and Goods Movement - Chair","AsmMikeGipson",NA,NA
"65",66,"Al Muratsuchi","Democrat","2016","Los Angeles","Budget - Member, Education - Chair, Higher Education - Member, Natural Resources - Member, Subcommittee No. 3 on Education Finance - Member","AsmMuratsuchi",NA,NA
"66",67,"Sharon Quirk-Silva","Democrat","5-Dec-22","Los Angeles, Orange","Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Budget - Member, Housing and Community Development - Member, Revenue and Taxation - Member, Subcommittee No. 5 on State Administration - Chair, Select Committee on Native American Affairs - Member, Joint Committee on the Arts - Member, Joint Legislative Audit - Member, Joint Legislative Budget - Member","QuirkSilvaCA",NA,NA
"67",68,"Avelino Valencia","Democrat","5-Dec-22","Orange","Arts, Entertainment, Sports, and Tourism - Member, Banking and Finance - Chair, Governmental Organization - Member, Insurance - Member, Military and Veterans Affairs - Member, Select Committee on Native American Affairs - Member","AsmValencia",NA,NA
"68",69,"Josh Lowenthal","Democrat","5-Dec-22","Los Angeles","Business and Professions - Member, Communications and Conveyance - Member, Education - Member, Privacy and Consumer Protection - Member, Transportation - Member, Select Committee on the Independent Restaurant Industry in California - Chair","AsmLowenthal",NA,NA
"69",70,"Tri Ta","Republican","5-Dec-22","Orange","Appropriations - Member, Governmental Organization - Member, Housing and Community Development - Member, Local Government - Vice Chair, Revenue and Taxation - Vice Chair, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member","TriTa4CA",NA,0.44
"70",71,"Kate Sanchez","Republican","5-Dec-22","Orange, Riverside","Appropriations - Vice Chair, Governmental Organization - Member, Health - Member, Judiciary - Member, Rules (First Extraordinary) - Member, Rules - Member, Joint Committee on Rules - Member","KateSanchezCA",NA,-0.0625
"71",72,"Diane Dixon","Republican","5-Dec-22","Orange","Appropriations - Member, Banking and Finance - Member, Governmental Organization - Member, Judiciary - Vice Chair, Privacy and Consumer Protection - Vice Chair","DianeDixonAD72",NA,NA
"72",73,"Cottie Petrie-Norris","Democrat","5-Dec-22","Orange","Budget - Member, Economic Development, Growth, and Household Impact - Member, Insurance - Member, Privacy and Consumer Protection - Member, Utilities and Energy - Chair, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Joint Legislative Committee on Climate Change Policies - Member","AsmCottie",NA,-0.0869565217391304
"73",74,"Laurie Davies","Republican","5-Dec-22","Orange, San Diego","Governmental Organization - Vice Chair, Military and Veterans Affairs - Member, Transportation - Vice Chair, Utilities and Energy - Member, Joint Committee on Fisheries and Aquaculture - Member, Assembly Legislative Ethics - Member","AsmLaurieDavies",NA,NA
"74",75,"Carl DeMaio","Republican","2-Dec-24","San Diego","Emergency Management - Member, Higher Education - Vice Chair, Privacy and Consumer Protection - Member, Revenue and Taxation - Member, Joint Legislative Audit - Member, Joint Legislative Committee on Emergency Management - Member","carldemaio",NA,NA
"75",76,"Darshana Patel","Democrat","2-Dec-24","San Diego","Budget - Member, Economic Development, Growth, and Household Impact - Member, Education - Member, Health - Member, Higher Education - Member, Rules (First Extraordinary) - Member, Rules - Member, Subcommittee No. 3 on Education Finance - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Chair, Joint Committee on Rules - Member","AsmDarshana",NA,NA
"76",77,"Tasha Boerner Horvath","Democrat","5-Dec-22","San Diego","Communications and Conveyance - Chair, Higher Education - Member, Public Employment and Retirement - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Select Committee on Sea Level Rise and the California Economy - Chair, Joint Committee on Fisheries and Aquaculture - Member","AsmTbh",NA,NA
"77",78,"Christopher Ward","Democrat","7-Dec-20","San Diego","Arts, Entertainment, Sports, and Tourism - Chair, Budget - Member, Labor and Employment - Member, Local Government - Member, Privacy and Consumer Protection - Member, Transportation - Member, Subcommittee No. 5 on State Administration - Member, Select Committee on Biotechnology and Medical Technology - Chair, Joint Committee on the Arts - Vice Chair","AsmChrisWard",NA,NA
"78",79,"LaShae Sharp-Collins","Democrat","2-Dec-24","San Diego","Aging and Long-Term Care - Member, Budget - Member, Health - Member, Higher Education - Member, Military and Veterans Affairs - Member, Public Safety - Member, Subcommittee No. 2 on Human Services - Member, Select Committee on CalFresh Enrollment and Nutrition - Co-Chair","AsmLaShae",NA,NA
"79",80,"David Alvarez","Democrat","15-Jun-22","San Diego","Budget (First Extraordinary) - Member, Budget - Member, Education - Member, Governmental Organization - Member, Insurance - Member, Rules (First Extraordinary) - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 3 on Education Finance - Chair, Select Committee on California-Mexico Bi-National Affairs - Chair, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Co-Chair, Joint Legislative Budget - Member","AlvarezSD",NA,NA
