district,name,party,date_assumed_office,counties_represented,committees,twitter
37,Gregg Hart,Democrat,"December 5, 2022","San Luis Obispo, Santa Barbara","Appropriations - Member, Budget (First Extraordinary) - Member, Budget - Member, Transportation - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 7 on Accountability and Oversight - Chair, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on the Independent Restaurant Industry in California - Member, Select Committee on the Nonprofit Sector - Chair, Select Committee on Regulatory Authority - Member, Select Committee on Sea Level Rise and the California Economy - Member, Joint Legislative Audit - Member",NA
38,Steve Bennett,Democrat,"December 5, 2022",Ventura,"Budget (First Extraordinary) - Member, Budget - Member, Elections - Member, Emergency Management - Member, Rules (First Extraordinary) - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Chair, Joint Legislative Budget - Member, Joint Legislative Committee on Emergency Management - Member",NA
39,Juan Carrillo,Democrat,"December 5, 2022","Los Angeles, San Bernardino","Governmental Organization - Member, Health - Member, Local Government - Chair, Military and Veterans Affairs - Member, Transportation - Member, Select Committee on California-Mexico Bi-National Affairs - Member, Select Committee on Community Reinvestment - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on Latina Inequities - Member, Select Committee on Racism, Hate, and Xenophobia - Member, Select Committee on Serving Students with Disabilities - Member",NA
40,Pilar Schiavo,Democrat,"December 5, 2022",Los Angeles,"Banking and Finance - Member, Budget - Member, Health - Member, Military and Veterans Affairs - Chair, Utilities and Energy - Member, Subcommittee No. 1 on Health - Member, Select Committee on California's Mental Health Crisis - Member, Select Committee on Child Care Costs - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Electric Vehicles and Charging Infrastructure - Chair, Select Committee on Native American Affairs - Member, Select Committee on Reproductive Health - Member, Select Committee on Serving Students with Disabilities - Member, Select Committee on Wildfire Prevention - Member",NA
41,John Harabedian,Democrat,"December 2, 2024","Los Angeles, San Bernardino","Budget (First Extraordinary) - Member, Insurance - Member, Judiciary - Member, Public Safety - Member, Transportation - Member, Utilities and Energy - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Cybersecurity - Member, Select Committee on Housing Finance and Affordability - Co-Chair, Select Committee on Reproductive Health - Member, Select Committee on Sea Level Rise and the California Economy - Member, Select Committee on Wildfire Prevention - Member, Joint Legislative Audit - Chair",NA
42,Jacqui Irwin,Democrat,"December 5, 2022","Los Angeles, Ventura","Agriculture - Member, Budget (First Extraordinary) - Member, Business and Professions - Member, Privacy and Consumer Protection - Member, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member, Select Committee on Cybersecurity - Chair, Select Committee on Electric Vehicles and Charging Infrastructure - Member, Select Committee on Master Plan for Higher Education in California - Member, Select Committee on Wildfire Prevention - Member, Joint Committee on Fairs Allocation and Classification - Member, Joint Committee on Rules - Member, Joint Legislative Committee on Climate Change Policies - Chair",@ASM_Irwin
43,Celeste Rodriguez,Democrat,"December 2, 2024",Los Angeles,"Budget (First Extraordinary) - Member, Health - Member, Higher Education - Member, Human Services - Member, Water, Parks, and Wildlife - Member, Select Committee on Community Economic Mobility and Investment - Member, Select Committee on Latina Inequities - Chair",NA
44,Nick Schultz,Democrat,"December 2, 2024",Los Angeles,"Budget (First Extraordinary) - Member, Budget - Member, Natural Resources - Member, Public Safety - Chair, Utilities and Energy - Member, Subcommittee No. 6 on Public Safety - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on the Status of Boys and Men of Color - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Member",NA
45,James Ramos,Democrat,"December 5, 2022",San Bernardino,"Budget (First Extraordinary) - Member, Budget - Member, Governmental Organization - Member, Local Government - Member, Public Safety - Member, Subcommittee No. 6 on Public Safety - Chair, Select Committee on Asia/California Trade and Investment - Member, Select Committee on CalFresh Enrollment and Nutrition - Member, Select Committee on Native American Affairs - Chair",@AsmJamesRamos
46,Jesse Gabriel,Democrat,"December 5, 2022","Los Angeles, Ventura","Budget (First Extraordinary) - Chair, Budget - Chair, Governmental Organization - Member, Subcommittee No. 1 on Health - Member, Subcommittee No. 2 on Human Services - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Subcommittee No. 5 on State Administration - Member, Subcommittee No. 6 on Public Safety - Member, Select Committee on Child Care Costs - Member, Joint Legislative Budget - Vice-Chair",@ASMGabriel
47,Greg Wallis,Republican,"December 5, 2022","Riverside, San Bernardino","Budget - Member, Economic Development, Growth, and Household Impact - Member, Governmental Organization - Member, Insurance - Vice Chair, Utilities and Energy - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 5 on State Administration - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on the Independent Restaurant Industry in California - Member, Select Committee on Master Plan for Higher Education in California - Member",NA
48,Blanca Rubio,Democrat,2016,Los Angeles,"Aging and Long-Term Care - Member, Banking and Finance - Member, Communications and Conveyance - Member, Governmental Organization - Chair, Local Government - Member, Select Committee on California-Mexico Bi-National Affairs - Member, Select Committee on Domestic Violence - Chair",@AsmBlancaRubio
49,Mike Fong,Democrat,"February 22, 2022",Los Angeles,"Appropriations - Member, Banking and Finance - Member, Budget (First Extraordinary) - Member, Budget - Member, Governmental Organization - Member, Higher Education - Chair, Subcommittee No. 3 on Education Finance - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on Asia/California Trade and Investment - Member, Select Committee on California-Mexico Bi-National Affairs - Member, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Chair, Select Committee on Master Plan for Higher Education in California - Member, Select Committee on Native American Affairs - Member, Select Committee on the Status of Boys and Men of Color - Member",NA
50,Robert Garcia,Democrat,"December 2, 2024",San Bernardino,"Communications and Conveyance - Member, Education - Member, Housing and Community Development - Member, Natural Resources - Member, Public Employment and Retirement - Member, Revenue and Taxation - Member, Select Committee on California-Mexico Bi-National Affairs - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Native American Affairs - Member, Select Committee on Ports and Goods Movement - Member",NA
51,Rick Chavez Zbur,Democrat,"December 5, 2022",Los Angeles,"Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Judiciary - Member, Natural Resources - Member, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member, Select Committee on Alternative Protein Innovation - Member, Select Committee on Biotechnology and Medical Technology - Member, Select Committee on Electric Vehicles and Charging Infrastructure - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Member, Select Committee on Wildfire Prevention - Member, Joint Committee on the Arts - Member, Joint Committee on Rules - Member",NA
52,Jessica Caloza,Democrat,"December 2, 2024",Los Angeles,"Appropriations - Member, Budget (First Extraordinary) - Member, Business and Professions - Member, Communications and Conveyance - Member, Housing and Community Development - Member, Water, Parks, and Wildlife - Member, Select Committee on Asia/California Trade and Investment - Chair, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Native American Affairs - Member, Select Committee on Sea Level Rise and the California Economy - Member, Select Committee on Wildfire Prevention - Member",NA
53,Michelle Rodriguez,Democrat,"December 2, 2024","Los Angeles, San Bernardino","Banking and Finance - Member, Governmental Organization - Member, Insurance - Member, Military and Veterans Affairs - Member, Rules (First Extraordinary) - Member, Rules - Member, Select Committee on Domestic Violence - Member, Joint Committee on Rules - Member",NA
54,Mark Gonzalez,Democrat,"December 2, 2024",Los Angeles,"Appropriations - Member, Budget (First Extraordinary) - Member, Health - Member, Public Safety - Member, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on CalFresh Enrollment and Nutrition - Member, Select Committee on Downtown Recovery - Member, Select Committee on the Independent Restaurant Industry in California - Member, Joint Committee on Rules - Member",NA
55,Isaac Bryan,Democrat,"December 5, 2022",Los Angeles,"Governmental Organization - Member, Judiciary - Member, Natural Resources - Chair, Privacy and Consumer Protection - Member, Select Committee on Alternative Protein Innovation - Member, Select Committee on California-Mexico Bi-National Affairs - Member, Select Committee on the Independent Restaurant Industry in California - Member, Select Committee on Regulatory Authority - Member, Select Committee on the Status of Boys and Men of Color - Chair, Select Committee on Wildfire Prevention - Member, Joint Legislative Committee on Climate Change Policies - Member",NA
56,Lisa Calderon,Democrat,"December 5, 2022",Los Angeles,"Appropriations - Member, Emergency Management - Member, Human Services - Member, Insurance - Chair, Utilities and Energy - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on Cybersecurity - Member, Joint Legislative Committee on Emergency Management - Member",NA
57,Sade Elhawary,Democrat,"December 2, 2024",Los Angeles,"Appropriations - Member, Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Business and Professions - Member, Human Services - Member, Labor and Employment - Member, Public Employment and Retirement - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Downtown Recovery - Member, Select Committee on Latina Inequities - Member, Select Committee on Social Housing - Member, Select Committee on the Status of Boys and Men of Color - Member, Joint Committee on the Arts - Member",NA
58,Leticia Castillo,Republican,"December 2, 2024","Riverside, San Bernardino","Communications and Conveyance - Member, Economic Development, Growth, and Household Impact - Vice Chair, Education - Member, Environmental Safety and Toxic Materials - Member, Human Services - Vice Chair",NA
59,Phillip Chen,Republican,"December 5, 2022","Orange, San Bernardino","Banking and Finance - Vice Chair, Business and Professions - Member, Health - Vice Chair, Insurance - Member, Labor and Employment - Member, Utilities and Energy - Member, Select Committee on Asia/California Trade and Investment - Member, Select Committee on Biotechnology and Medical Technology - Member, Assembly Legislative Ethics - Co-Chair",@PhillipChenCA
60,Corey Jackson,Democrat,"December 5, 2022",Riverside,"Budget (First Extraordinary) - Member, Budget - Member, Business and Professions - Member, Higher Education - Member, Human Services - Member, Transportation - Member, Subcommittee No. 2 on Human Services - Chair, Select Committee on Biotechnology and Medical Technology - Member, Select Committee on California's Mental Health Crisis - Member, Select Committee on Native American Affairs - Member, Select Committee on the Nonprofit Sector - Member, Select Committee on Racism, Hate, and Xenophobia - Chair, Select Committee on Reproductive Health - Member, Select Committee on the Status of Boys and Men of Color - Member, Joint Legislative Budget - Member",NA
61,Tina McKinnor,Democrat,"December 5, 2022",Los Angeles,"Arts, Entertainment, Sports, and Tourism - Member, Environmental Safety and Toxic Materials - Member, Governmental Organization - Member, Privacy and Consumer Protection - Member, Public Employment and Retirement - Chair, Revenue and Taxation - Member, Select Committee on 2028 Olympic and Paralympic Games - Chair, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Member, Select Committee on Sea Level Rise and the California Economy - Member",NA
62,Jose Solache,Democrat,"December 2, 2024",Los Angeles,"Appropriations - Member, Budget - Member, Economic Development, Growth, and Household Impact - Chair, Elections - Member, Governmental Organization - Member, Subcommittee No. 1 on Health - Member, Select Committee on CalFresh Enrollment and Nutrition - Member, Select Committee on California-Mexico Bi-National Affairs - Member, Select Committee on Child Care Costs - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on the Independent Restaurant Industry in California - Member, Select Committee on the Status of Boys and Men of Color - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Member",NA
64,Blanca Pacheco,Democrat,"December 5, 2022","Los Angeles, Orange","Appropriations - Member, Governmental Organization - Member, Judiciary - Member, Local Government - Member, Rules (First Extraordinary) - Chair, Rules - Chair, Select Committee on Cybersecurity - Member, Select Committee on Domestic Violence - Member, Select Committee on Latina Inequities - Member, Select Committee on Regulatory Authority - Chair, Joint Committee on Rules - Chair",NA
65,Mike Gipson,Democrat,"December 5, 2022",Los Angeles,"Governmental Organization - Member, Insurance - Member, Revenue and Taxation - Chair, Select Committee on Domestic Violence - Member, Select Committee on the Nonprofit Sector - Member, Select Committee on Ports and Goods Movement - Chair, Select Committee on Youth Mental Health and Treatment Accessibility - Member",@AsmMikeGipson
66,Al Muratsuchi,Democrat,2016,Los Angeles,"Budget - Member, Education - Chair, Higher Education - Member, Natural Resources - Member, Subcommittee No. 3 on Education Finance - Member",@AsmMuratsuchi
67,Sharon Quirk-Silva,Democrat,"December 5, 2022","Los Angeles, Orange","Arts, Entertainment, Sports, and Tourism - Member, Budget (First Extraordinary) - Member, Budget - Member, Housing and Community Development - Member, Revenue and Taxation - Member, Subcommittee No. 5 on State Administration - Chair, Select Committee on California's Mental Health Crisis - Member, Select Committee on Child Care Costs - Member, Select Committee on Community Reinvestment - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on Master Plan for Higher Education in California - Member, Select Committee on Native American Affairs - Member, Joint Committee on the Arts - Member, Joint Legislative Audit - Member, Joint Legislative Budget - Member",NA
68,Avelino Valencia,Democrat,"December 5, 2022",Orange,"Arts, Entertainment, Sports, and Tourism - Member, Banking and Finance - Chair, Governmental Organization - Member, Insurance - Member, Military and Veterans Affairs - Member, Select Committee on Asia/California Trade and Investment - Member, Select Committee on Community Reinvestment - Member, Select Committee on Native American Affairs - Member, Select Committee on the Nonprofit Sector - Member, Select Committee on the Status of Boys and Men of Color - Member",NA
69,Josh Lowenthal,Democrat,"December 5, 2022",Los Angeles,"Business and Professions - Member, Communications and Conveyance - Member, Education - Member, Privacy and Consumer Protection - Member, Transportation - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on the Independent Restaurant Industry in California - Chair, Select Committee on the Nonprofit Sector - Member, Select Committee on Ports and Goods Movement - Member, Select Committee on Racism, Hate, and Xenophobia - Member, Select Committee on Sea Level Rise and the California Economy - Member",NA
70,Tri Ta,Republican,"December 5, 2022",Orange,"Appropriations - Member, Governmental Organization - Member, Housing and Community Development - Member, Local Government - Vice Chair, Revenue and Taxation - Vice Chair, Rules (First Extraordinary) - Member, Rules - Member, Utilities and Energy - Member",NA
71,Kate Sanchez,Republican,"December 5, 2022","Orange, Riverside","Appropriations - Vice Chair, Governmental Organization - Member, Health - Member, Judiciary - Member, Rules (First Extraordinary) - Member, Rules - Member, Joint Committee on Rules - Member",NA
72,Diane Dixon,Republican,"December 5, 2022",Orange,"Appropriations - Member, Banking and Finance - Member, Governmental Organization - Member, Judiciary - Vice Chair, Privacy and Consumer Protection - Vice Chair, Select Committee on Alternative Protein Innovation - Member, Select Committee on the Independent Restaurant Industry in California - Member",NA
73,Cottie Petrie-Norris,Democrat,"December 5, 2022",Orange,"Budget - Member, Economic Development, Growth, and Household Impact - Member, Insurance - Member, Privacy and Consumer Protection - Member, Utilities and Energy - Chair, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on Asia/California Trade and Investment - Member, Select Committee on Master Plan for Higher Education in California - Member, Select Committee on Regulatory Authority - Member, Select Committee on Reproductive Health - Member, Joint Legislative Committee on Climate Change Policies - Member",@AsmCottie
74,Laurie Davies,Republican,"December 5, 2022","Orange, San Diego","Governmental Organization - Vice Chair, Military and Veterans Affairs - Member, Transportation - Vice Chair, Utilities and Energy - Member, Select Committee on Community Reinvestment - Member, Select Committee on Regulatory Authority - Member, Select Committee on Sea Level Rise and the California Economy - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Member, Joint Committee on Fisheries and Aquaculture - Member, Assembly Legislative Ethics - Member",NA
75,Carl DeMaio,Republican,"December 2, 2024",San Diego,"Emergency Management - Member, Higher Education - Vice Chair, Privacy and Consumer Protection - Member, Revenue and Taxation - Member, Joint Legislative Audit - Member, Joint Legislative Committee on Emergency Management - Member",NA
76,Darshana Patel,Democrat,"December 2, 2024",San Diego,"Budget - Member, Economic Development, Growth, and Household Impact - Member, Education - Member, Health - Member, Higher Education - Member, Rules (First Extraordinary) - Member, Rules - Member, Subcommittee No. 3 on Education Finance - Member, Select Committee on Biotechnology and Medical Technology - Member, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Member, Select Committee on the Independent Restaurant Industry in California - Member, Select Committee on Latina Inequities - Member, Select Committee on Serving Students with Disabilities - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Chair, Joint Committee on Rules - Member",NA
77,Tasha Boerner Horvath,Democrat,"December 5, 2022",San Diego,"Communications and Conveyance - Chair, Higher Education - Member, Public Employment and Retirement - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Select Committee on Asia/California Trade and Investment - Member, Select Committee on Biotechnology and Medical Technology - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Ports and Goods Movement - Member, Select Committee on Sea Level Rise and the California Economy - Chair, Joint Committee on Fisheries and Aquaculture - Member",@AsmTbh
78,Christopher Ward,Democrat,"December 7, 2020",San Diego,"Arts, Entertainment, Sports, and Tourism - Chair, Budget - Member, Labor and Employment - Member, Local Government - Member, Privacy and Consumer Protection - Member, Transportation - Member, Subcommittee No. 5 on State Administration - Member, Select Committee on Alternative Protein Innovation - Member, Select Committee on Biotechnology and Medical Technology - Chair, Select Committee on Child Care Costs - Member, Select Committee on Climate Innovation and Infrastructure - Member, Select Committee on Racism, Hate, and Xenophobia - Member, Joint Committee on the Arts - Vice Chair",NA
79,LaShae Sharp-Collins,Democrat,"December 2, 2024",San Diego,"Aging and Long-Term Care - Member, Budget - Member, Health - Member, Higher Education - Member, Military and Veterans Affairs - Member, Public Safety - Member, Subcommittee No. 2 on Human Services - Member, Select Committee on 2028 Olympic and Paralympic Games - Member, Select Committee on CalFresh Enrollment and Nutrition - Co-Chair, Select Committee on Child Care Costs - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on Master Plan for Higher Education in California - Member, Select Committee on Racism, Hate, and Xenophobia - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Member",NA
80,David Alvarez,Democrat,"June 15, 2022",San Diego,"Budget (First Extraordinary) - Member, Budget - Member, Education - Member, Governmental Organization - Member, Insurance - Member, Rules (First Extraordinary) - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 3 on Education Finance - Chair, Select Committee on California-Mexico Bi-National Affairs - Chair, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Co-Chair, Joint Legislative Budget - Member",NA
