members,committees,district,party,date_assumed_office,twitter
Melissa Hurtado,"Agriculture, Banking and Financial Institutions, Energy, Utilities and Communications, Environmental Quality, Governmental Organization, Natural Resources and Water",16,Democrat,"December 5, 2022",@Senator_Hurtado
Marie Alvarado-Gil,Agriculture,4,Republican,"December 5, 2022",@AlvaradoGilSD4
Dave Cortese,"Agriculture, Education, Housing, Labor, Public Employment and Retirement, Transportation",15,Democrat,"December 7, 2020",@SenDaveCortese
Jerry McNerney,"Agriculture, Budget and Fiscal Review, Energy, Utilities and Communications, Military and Veterans Affairs, Revenue and Taxation",5,Democrat,"December 2, 2024",@SenMcNerney
Steve Padilla,"Agriculture, Environmental Quality, Governmental Organization, Health, Housing, Insurance",18,Democrat,"December 5, 2022",@SenStevePadilla
Anna Caballero,"Appropriations, Energy, Utilities and Communications, Housing, Insurance, Judiciary, Public Safety",14,Democrat,"December 5, 2022",@CASenCaballero
Kelly Seyarto,"Appropriations, Budget and Fiscal Review, Housing, Local Government, Natural Resources and Water, Public Safety, Transportation",32,Republican,"December 5, 2022",@SenatorSeyarto
Christopher Cabaldon,"Appropriations, Budget and Fiscal Review, Education, Housing, Local Government",3,Democrat,"December 2, 2024",@sencabaldon
Megan Dahle,"Appropriations, Energy, Utilities and Communications, Environmental Quality, Governmental Organization, Transportation",1,Republican,"December 2, 2024",@SenMeganDahle
Tim Grayson,"Appropriations, Banking and Financial Institutions, Business, Professions and Economic Development, Housing, Revenue and Taxation, Transportation",9,Democrat,"December 2, 2024",@TimGraysonCA
Laura Richardson,"Appropriations, Banking and Financial Institutions, Budget and Fiscal Review, Governmental Organization, Health, Transportation",35,Democrat,"December 2, 2024",NA
Aisha Wahab,"Appropriations, Budget and Fiscal Review, Energy, Utilities and Communications, Governmental Organization, Housing, Insurance, Judiciary",10,Democrat,"December 5, 2022",@SenAishaWahab
Roger Niello,"Banking and Financial Institutions, Budget and Fiscal Review, Business, Professions and Economic Development, Insurance, Judiciary",6,Republican,"December 5, 2022",@SenRogerNiello
Sabrina Cervantes,"Banking and Financial Institutions, Elections and Constitutional Amendments, Governmental Organization, Transportation",31,Democrat,"December 2, 2024",@SenCervantes
Monique Limón,"Banking and Financial Institutions, Elections and Constitutional Amendments, Energy, Utilities and Communications, Health, Human Services, Natural Resources and Water, Transportation",21,Democrat,"December 2, 2024",@MoniqueLimonCA
Tony Strickland,"Banking and Financial Institutions, Business, Professions and Economic Development, Energy, Utilities and Communications, Labor, Public Employment and Retirement, Transportation",36,Republican,"March 11, 2025",@StricklandforCA
Scott Wiener,"Budget and Fiscal Review, Health, Judiciary, Local Government, Public Safety",11,Democrat,2016,@Scott_Wiener
Benjamin Allen,"Budget and Fiscal Review, Elections and Constitutional Amendments, Energy, Utilities and Communications, Judiciary, Natural Resources and Water",24,Democrat,"December 5, 2022",@BenAllenCA
Catherine Blakespear,"Budget and Fiscal Review, Environmental Quality, Governmental Organization, Transportation",38,Democrat,"December 5, 2022",@SenBlakespear
Steven Choi,"Budget and Fiscal Review, Business, Professions and Economic Development, Education, Elections and Constitutional Amendments, Local Government",37,Republican,"December 2, 2024",@SenatorChoi
Maria Elena Durazo,"Budget and Fiscal Review, Health, Housing, Judiciary, Labor, Public Employment and Retirement, Local Government",26,Democrat,"December 5, 2022",@SenMariaEDurazo
Shannon Grove,"Budget and Fiscal Review, Energy, Utilities and Communications, Health, Military and Veterans Affairs, Natural Resources and Water, Rules",12,Republican,"December 5, 2022",@ShannonGroveCA
John Laird,"Budget and Fiscal Review, Judiciary, Labor, Public Employment and Retirement, Local Government, Natural Resources and Water, Rules",17,Democrat,"December 7, 2020",@SenJohnLaird
Caroline Menjivar,"Budget and Fiscal Review, Business, Professions and Economic Development, Environmental Quality, Health, Military and Veterans Affairs, Transportation",20,Democrat,"December 5, 2022",@SenatorMenjivar
Rosilicie Ochoa Bogh,"Budget and Fiscal Review, Education, Energy, Utilities and Communications, Governmental Organization, Housing, Human Services",19,Republican,"December 2, 2024",@SenOchoaBogh
Sasha Renée Pérez,"Budget and Fiscal Review, Education, Environmental Quality, Human Services, Public Safety",25,Democrat,"December 2, 2024",@SashaReneePerez
Lola Smallwood-Cuevas,"Budget and Fiscal Review, Business, Professions and Economic Development, Governmental Organization, Labor, Public Employment and Retirement",28,Democrat,"December 5, 2022",@Lola_Smallwood
Akilah Weber,"Budget and Fiscal Review, Business, Professions and Economic Development, Governmental Organization, Health, Judiciary",39,Democrat,"December 2, 2024",@asmakilahweber
Angelique Ashby,"Business, Professions and Economic Development, Energy, Utilities and Communications, Governmental Organization, Judiciary, Revenue and Taxation",8,Democrat,"December 5, 2022",@SenatorAshby
Bob Archuleta,"Business, Professions and Economic Development, Energy, Utilities and Communications, Governmental Organization, Military and Veterans Affairs, Transportation",30,Democrat,"December 5, 2022",@SenBobArchuleta
Jesse Arreguín,"Business, Professions and Economic Development, Energy, Utilities and Communications, Housing, Human Services, Local Government, Public Safety, Transportation",7,Democrat,"December 2, 2024",@JesseArreguin
Thomas Umberg,"Business, Professions and Economic Development, Elections and Constitutional Amendments, Judiciary, Military and Veterans Affairs, Revenue and Taxation, Transportation",34,Democrat,2018,@SenatorUmberg
Lena Gonzalez,"Education, Energy, Utilities and Communications, Environmental Quality, Health, Public Safety, Transportation",33,Democrat,"June 12, 2019",@SenGonzalez33 
Eloise Gómez Reyes,"Education, Housing, Judiciary, Rules",29,Democrat,"December 2, 2024",@SenEloiseReyes
Josh Becker,"Energy, Utilities and Communications, Human Services, Insurance",13,Democrat,"December 7, 2020",@SenJoshBecker
Susan Rubio,"Energy, Utilities and Communications, Governmental Organization, Health, Insurance",22,Democrat,"December 3, 2018",@SenSusanRubio
Henry Stern,"Energy, Utilities and Communications, Judiciary, Natural Resources and Water",27,Democrat,2016,@SenHenryStern
Suzette Martinez Valladares,"Environmental Quality, Governmental Organization, Health, Judiciary, Revenue and Taxation, Transportation",23,Republican,"December 2, 2024",@SenValladares
Brian W. Jones,"Governmental Organization, Insurance, Rules",40,Republican,"December 5, 2022",@SenBrianJones
Mike McGuire,Rules,2,Democrat,"December 1, 2014",@ilike_mike